date,incid_hosp
2020-03-18,
2020-03-19,1.0
2020-03-20,0.0
2020-03-21,3.0
2020-03-22,3.0
2020-03-23,14.0
2020-03-24,11.0
2020-03-25,13.0
2020-03-26,14.0
2020-03-27,14.0
2020-03-28,7.0
2020-03-29,11.0
2020-03-30,20.0
2020-03-31,20.0
2020-04-01,38.0
2020-04-02,34.0
2020-04-03,15.0
2020-04-04,25.0
2020-04-05,12.0
2020-04-06,11.0
2020-04-07,15.0
2020-04-08,19.0
2020-04-09,13.0
2020-04-10,17.0
2020-04-11,7.0
2020-04-12,4.0
2020-04-13,13.0
2020-04-14,14.0
2020-04-15,35.0
2020-04-16,16.0
2020-04-17,9.0
2020-04-18,31.0
2020-04-19,3.0
2020-04-20,4.0
2020-04-21,12.0
2020-04-22,13.0
2020-04-23,10.0
2020-04-24,7.0
2020-04-25,4.0
2020-04-26,4.0
2020-04-27,4.0
2020-04-28,4.0
2020-04-29,14.0
2020-04-30,8.0
2020-05-01,4.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,2.0
2020-05-05,7.0
2020-05-06,8.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-09,1.0
2020-05-10,3.0
2020-05-11,6.0
2020-05-12,4.0
2020-05-13,6.0
2020-05-14,4.0
2020-05-15,4.0
2020-05-16,1.0
2020-05-17,1.0
2020-05-18,1.0
2020-05-19,5.0
2020-05-20,2.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,4.0
2020-05-24,0.0
2020-05-25,1.0
2020-05-26,2.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,2.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,1.0
2020-06-03,2.0
2020-06-04,4.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,3.0
2020-06-09,0.0
2020-06-10,1.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,2.0
2020-06-17,1.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,1.0
2020-06-25,2.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,1.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,1.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,1.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,1.0
2020-07-21,1.0
2020-07-22,1.0
2020-07-23,0.0
2020-07-24,1.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,0.0
